Utterance_ID,Text,Emotion
Ses05F_impro01_F017,isnt there anything you can do just call over and ask them if i can go to the front of the line in the other line,ang
Ses05F_impro01_F018,why not,ang
Ses05F_impro01_F020,right well last time they told me it was this line and obviously its not true,ang
Ses05F_impro05_F000,hium i think my baggage was lost and i need to i guess file a claim or i dont know what,neu
Ses05F_impro05_M000,okay what flight were you on,neu
Ses05F_impro05_F001,umseventeen coming from ,neu
Ses05F_impro05_M001,on what airline,neu
Ses05F_impro05_F002,it was virgin atlantic coming from london,neu
Ses05F_impro05_M002,from london okay um and you went through all your proper checkpoints,neu
Ses05F_impro05_M003,so you havent seen your bags since africa you flew threw heath row to here,neu
Ses05F_impro05_F004,right,neu
Ses05F_impro05_F005,yeah,neu
Ses05F_impro05_M004,okay well let me see here i,neu
Ses05F_impro05_M005,it seems like it went through heath row i see it here uh,neu
Ses05F_impro05_F006,thats good,neu
Ses05F_impro05_M006,but uh i dont see it here in the airport yet uh,neu
Ses05F_impro05_M007,im not sure where it is we can absolutely keep an eye out for for it for you,neu
Ses05F_impro05_F007,well i cant leave without it i mean could you find out,neu
Ses05F_impro05_M008,well im not a miracle worker i dont know what i can do for you i dont have the bag right here,neu
Ses05F_impro05_M009,well as i told you it left heath row and it seems to have arrived here but if you cant find it thenare you sure you know what your bag looks like,neu
Ses05F_impro05_M010,okay and what is that what kind of bag is it,neu
Ses05F_impro05_F010,um its a travel backpack its green and gray its got my name on it and my information,neu
Ses05F_impro05_M012,are you sure,neu
Ses05F_impro05_M014,all right now um its green travel bag you couldnt find it and was there something important in it that you need it,neu
Ses05F_impro05_M015,sentimental value,neu
Ses05F_impro05_M016,right well i dont know what to tell you um what i can offer you is a fifty dollar voucher on your next flight,neu
Ses05F_impro05_M017,no i understand i mean its got to be tough all those sentimental things but um this is all i can do for you,neu
Ses05F_impro05_M018,well you know sometimes thatsreally i mean what else could we do,neu
Ses05F_impro05_F018,uh not lose the baggage in the first place i mean youre offering a service here i paid so much money for that ticket,ang
Ses05F_impro05_M019,well,neu
Ses05F_impro05_M022,lets lets just relax for a moment maam you understand obviously were going to do everything we can to keep all of your luggage here,neu
Ses05F_impro05_M023,obviously were not trying to lose your luggage do you really believe that were trying to lose your luggage maam,neu
Ses05F_impro05_F019,no but i mean like why cant why cant you find it where did it go who lost it,ang
Ses05F_impro05_F020,well i justi paid so much money for this ticket i feel like you guys should be able to getto offer me more than a fifty dollar voucher,ang
Ses05F_impro05_M025,well were talking about one bag you personally made it here didnt you,neu
Ses05F_impro05_F021,yeah meaning i didnt die in a fiery plane crash how convenient but um i paid two thousand dollar to ride your airline and i would really appreciate getting my bags there to my destination in one place,ang
Ses05F_impro05_F022,right but part of the agreement is that im paying so that i can take myself and my belongings with me,ang
Ses05F_impro05_F023,and that youre going to transport them safely from one place to another,ang
Ses05F_impro05_F024,thats all you can offer me i mean my the stuff in there is worth way more than fifty dollar,ang
Ses05F_impro05_M030,well i understand that did you buy flight insurance,neu
Ses05F_impro05_M031,well my hands are really tied then,neu
Ses05F_impro05_M032,well its like any kind of insurance you dontwhen you get it then you get more you know like if you,neu
Ses05F_impro05_M033,well of course not because youve got your backpack with you the whole time now if youyou said this was a travel bag why werent you carrying it on if it was so important,neu
Ses05F_impro05_M034,uh so it was really heavy,neu
Ses05F_impro05_M036,im sorry maam theres nothing else i can do my hands are really tied here i really wish there was something else i could do for you,neu
Ses05F_impro05_F031,i dont believe that for a second,ang
Ses05F_impro05_M037,well i dont know why you wouldnt believe that,neu
Ses05F_impro05_M039,well i have no way to give you more money im giving you as much money as i can and figuring as far as figuring out where you bag is,neu
Ses05F_impro05_F033,what do you mean as you can who makes up these rules,ang
Ses05F_impro05_M040,makes up,neu
Ses05F_impro05_F034,youre an autono autonomous human being you could you could go into the com,ang
Ses05F_impro05_M041,the airline makes these rules mom maam,neu
Ses05F_impro05_F041,no i dont think i am i like have a whole bunch of stuff that means a lot to me and i brought it you know from africa its not like i can just go back and get it whenever i want,ang
Ses05F_impro05_M048,right,neu
Ses05F_impro05_F042,its not like i can go to kmart and buy another,ang
Ses05F_impro05_M050,and while i really would love to be able to hand you your bag right now obviously i cant do that,neu
Ses05F_impro05_M051,so youd like the fifty dollar voucher,neu
Ses05F_impro05_M052,okay just fill out these three forms and um youll well have that sent to you within the next three weeks and of course well definitely keep an eye out for your bag,neu
Ses05F_impro05_M053,you have a wonderful day,neu
Ses05F_impro03_F000,okay so big news,hap
Ses05F_impro03_M000,what,hap
Ses05F_impro03_M001,come on what,hap
Ses05F_impro03_F001,im getting married,hap
Ses05F_impro03_F002,yeah,hap
Ses05F_impro03_M003,no way,hap
Ses05F_impro03_F003,yeah,hap
Ses05F_impro03_F004,uhhuh,hap
Ses05F_impro03_M005,no way when whenwhen when did it happen,hap
Ses05F_impro03_F005,just a couple days ago,hap
Ses05F_impro03_M006,oh my gosh,hap
Ses05F_impro03_M007,and you actually said yes i cant believe it i never thought you would get married,hap
Ses05F_impro03_F007,i know me neither,hap
Ses05F_impro03_M008,oh my gosh,hap
Ses05F_impro03_F008,right i thought i would be way older too i thought i would be i be at least thirty something,hap
Ses05F_impro03_M009,oh absolutely,hap
Ses05F_impro03_M010,well we always said wed be in our thirtieth when we got married and we were going to get married to each other if we didnt by then,hap
Ses05F_impro03_F009,yeah,hap
Ses05F_impro03_M011,thirty nine yeah i cant believe it so you broke our pact thanks a lot,hap
Ses05F_impro03_F011,sorry,hap
Ses05F_impro03_M012,thanks a lot well okay youve got to tell me the details what did he say where was it what happened,hap
Ses05F_impro03_M013,okay thats okay spontaneous is great spontaneous is awesome,hap
Ses05F_impro03_M020,am i in it,hap
Ses05F_impro03_F020,yeah yeah of course,hap
Ses05F_impro03_M027,cool perfect another chicagoite got to love it,hap
Ses05F_impro03_F027,its so weird too right that like you can grow up so near somebody and never know them until you travel hundreds of miles away,hap
Ses05F_impro03_F028,i know,hap
Ses05F_impro03_F029,right being like oh where are you from the us where in the us chicago where in chicago,hap
Ses05F_impro03_M030,laughter i am sil,hap
Ses05F_impro03_F030,knowing the neighborhood yeah its pretty bizarre,hap
Ses05F_impro03_M031,and now youre getting married,hap
Ses05F_impro03_F031,yeah,hap
Ses05F_impro03_M032,that is amazing you must be so excited did you tell your mom,hap
Ses05F_impro03_F032,mmhmm,hap
Ses05F_impro03_M033,oh did she cry,hap
Ses05F_impro03_F033,yeah she loves him,hap
Ses05F_impro03_F034,yeah sheyeah thats my type,hap
Ses05F_impro03_M035,breathing,hap
Ses05F_impro03_M036,you i cant believe it im so happy for you this is exactly what you wanted its your dream come true,hap
Ses05F_impro03_F035,thank you,hap
Ses05F_impro03_M037,the exact right guy i fully approve hes a wonderful guy we have a great time he can drink thats awesome,hap
Ses05F_impro03_F036,laughter,hap
Ses05F_impro03_M038,laughter,hap
Ses05F_impro03_F037,yeah we all have to hang out now,hap
Ses05F_impro03_M039,of course of course she will  of course she will yeah dont go and disappear like everyone else after they get married and i never see them again thatll make me mad you dont want to make me mad you know how i get when i get mad,hap
Ses05F_impro03_M040,exactly,hap
Ses05F_impro03_M041,exactly laugh,hap
Ses05F_impro03_F039,sorry,hap
Ses05F_impro03_F040,theres still time for that,hap
Ses05F_impro03_M043,oh thanks move here before you get married laughter,hap
Ses05F_impro03_F041,breathing,hap
Ses05F_impro03_M044,perfect okay good sigh,hap
Ses05F_impro03_M045,i dont feel so bad then well im excited for you,hap
Ses05F_impro03_F042,i know i cant believe it,hap
Ses05F_impro03_M046,i cant believe it,hap
Ses05F_impro03_F043,i am very excited,hap
Ses05F_impro03_M049,so i was one of the first ones that makes me feel so important,hap
Ses05F_impro03_F046,i have to think about moving now were going to move in together,hap
Ses05F_impro03_M050,oh yeah of course,hap
Ses05F_impro03_F047,i think its a good idea to live together before you get married,hap
Ses05F_impro03_M051,i think so too are you going to get a house or,hap
Ses05F_impro03_F048,i dont want a house i mean just,hap
Ses05F_impro03_F049,la apartment is fine,hap
Ses05F_impro03_F051,two artists though were bound to be poor forever,hap
Ses05F_impro03_M057,yeah,hap
Ses05F_impro03_M058,yeah,hap
Ses05F_impro03_F053,definitely not for a while,hap
Ses05F_impro03_F054,yeah,hap
Ses05F_impro03_F055,laughter good luck,hap
Ses05F_impro03_M060,laughter,hap
Ses05F_impro03_M061,oh thanks ill need it,hap
Ses05F_impro03_F056,you wont have trouble you wont have trouble,hap
Ses05F_impro03_M062,oh thanks youre too nice,hap
Ses05F_impro03_M063,just being polite now,hap
Ses05F_impro03_F057,you should just approach her like that hey will you bear my children,hap
Ses05F_impro03_M064,because i am not getting married,hap
Ses05F_impro03_M065,exactly laughter i think thatll go over great dont you,hap
Ses05F_impro03_F058,yeah totally,hap
Ses05F_impro03_M066,thats what girls like right,hap
Ses05F_impro03_F059,total turn on,hap
Ses05F_impro03_M067,would you mind popping out a few for me,hap
Ses05F_impro03_F060,laughter,hap
Ses05F_impro03_M068,thatd be great thanks,hap
Ses05M_impro06_M000,i just got some bad news,sad
Ses05M_impro06_M001,my friend shotty passed away,sad
Ses05M_impro06_F002,oh im so sorry,sad
Ses05M_impro06_M002,the end hes been sick for awhile he had cancer,sad
Ses05M_impro06_F003,oh my gosh,sad
Ses05M_impro06_M003,yeah its just i never thought it would actually happen you know i mean hes such a fighter and hes always so positive about everything,sad
Ses05M_impro06_M004,you know he was gonna and we  all the way up to the end we were just talking about how you know all the stuff we were gonna do and you know when he finally kicked this stupid cancer you know and we were gonna ,sad
Ses05M_impro06_M005,he wanted to travel you know and hes so talented probably the most talented person i have ever met in my entire life,sad
Ses05M_impro06_F004,what did he do,sad
Ses05M_impro06_M006,he was a designer you know but he did everything you know he painted and he and he did costume design he did set design he did lighting he was ,sad
Ses05M_impro06_M007,he just did everything he was literally literally the most talented guy i have ever met in my entire life,sad
Ses05M_impro06_M008,and hes gone now and i  i just cant believe it,sad
Ses05M_impro06_F005,yeah im so sorry,sad
Ses05M_impro06_M009,i mean one second you think you know youre just having a conversation and then ,sad
Ses05M_impro06_M010,you know sometimes you think you want to make that phone call or you think you want to tell somebody something or something like that do you know what i mean like thats  he was the person that i did that with you know like thats the person who i needed to call to tell things to all the time,sad
Ses05M_impro06_F006,you guys have been,sad
Ses05M_impro06_M011,and now i dont have that person anymore you know and its   its just you,sad
Ses05M_impro06_M012,you think that things get easier you know as you as you get older and you ,sad
Ses05M_impro06_M013,and it just gets worse it just gets worse everything is bad all the time people die your friends die family dies your best friends die its,sad
Ses05M_impro06_F007,im sorry i,sad
Ses05M_impro06_M014,you always think you know when you were you know when you were a little kid and you think something is gonna happen like it will all be better when i am older you know,sad
Ses05M_impro06_F008,wow ryan i know that you are hurting right now but i dont think you always feel like that,sad
Ses05M_impro06_M017,no youre right i dont youre right,sad
Ses05M_impro06_M018,even yeah  he doesnt he would never feel that way he would never want me to feel that way of course not but thats just where i am right now and   i dont know what else to do with it,sad
Ses05M_impro06_F009,yeah i understand i think its really healthy to grieve,sad
Ses05M_impro06_M019,i just miss him,sad
Ses05M_impro06_F010,if theres anything i can do to be there for you,sad
Ses05M_impro06_M020,thanks,sad
Ses05M_script01_1b_F000,whats he going to say maybe we ought to tell him before he sees it,sad
Ses05M_script01_1b_M001,he was out here when it broke,sad
Ses05M_script01_1b_M002,about four this morning i heard it crack and i looked out the window and he was standing right there when it cracked,sad
Ses05M_script01_1b_M003,i dont know but after he saw it he ran back into the house and started crying in the kitchen,sad
Ses05M_script01_1b_M004,no i figured it was best to leave him alone,sad
Ses05M_script01_1b_M005,yes yes he is i dont know the meaning in it but i know one thing mom we made a terrible mistake with dad,sad
Ses05M_script01_1b_M019,isnt it your business too if i tell dad and he throws a fit about it you have such a talent for ignoring things,ang
Ses05M_script01_1b_M020,shes not larrys girl,ang
Ses05M_script01_1b_M022,what to hell with that,ang
Ses05M_script01_1b_F022,have you asked annie yet,neu
Ses05M_script01_1b_F023,well how do you know shell marry you maybe she feels like your father does,neu
Ses05M_script01_1b_F024,the trouble is you dont see enough women you never did,neu
Ses05M_script01_1b_F026,well thats a good reason but it dont mean a thing i mean you havent seen her since you went to war its been five years,neu
Ses05M_script01_1b_F028,now whats going to happen to your father do you know i dont,sad
Ses05M_script01_1b_M031,ive given it three years of thought i had hoped if i waited dad wouldve forgotten him by now and we could have a a regular wedding and everybody happy,ang
Ses05M_script01_1b_M032,but if that cant happen then ill just get out,ang
Ses05M_script01_1b_M033,ill get out ill go get married someplace else i ill live someplace else maybe new york,ang
Ses05M_script01_1b_F031,are you crazy,ang
Ses05M_script01_1b_M035,the business the business doesnt inspire me,ang
Ses05M_script01_1b_F033,must you be inspired,ang
Ses05M_script01_1b_M036,yeah id like one hour a day if i have to grub for money all day long id like to go home to something beautiful id like a family id like some kids,ang
Ses05M_script01_1b_F034,you dont want to think like that,ang
Ses05M_script01_1b_M040,well i am thinking like that,ang
Ses05M_script01_1b_M041,no you dont im a pretty tough guy,ang
Ses05F_script03_2_F000,you knew there was nothing in that,neu
Ses05F_script03_2_F001,only a trivial little broach,neu
Ses05F_script03_2_F003,you worked the whole thing up in your jealous imagination,neu
Ses05F_script03_2_M004,you must admit that he was in love with you wasnt he,ang
Ses05F_script03_2_F004,maybe just a little but,neu
Ses05F_script03_2_M005,you let him kiss you you said you did,ang
Ses05F_script03_2_F005,and what of it,neu
Ses05F_script03_2_F006,well i he got a lot of pleasure out of it and it didnt hurt me,neu
Ses05F_script03_2_M008,well thats a nice point of view i must say,ang
Ses05F_script03_2_M009,so am i bored stiff would you like some brandy,neu
Ses05F_script03_2_M010,ill have a little i think,neu
Ses05F_script03_2_F010,i dont see why you want any youve already had three glasses,neu
Ses05F_script03_2_F011,well it seems silly to go on and on in such a thing,neu
Ses05F_script03_2_F012,its becoming a habit with you,neu
Ses05F_script03_2_M013,you neednt be so grand simply because you dont happen to want any at the moment,ang
Ses05F_script03_2_M014,really amanda,ang
Ses05F_script03_2_F014,just making myself fascinating for you,neu
Ses05F_script03_2_M016,oh that reply has broken my heart,ang
Ses05F_script03_2_M019,its a pity you didnt take a little more brandy it might have made you a little less disagreeable,ang
Ses05F_script03_2_F018,um it doesnt seem to have worked such wonders with you,ang
Ses05F_script03_2_F019,adder dont snap they sting,ang
Ses05F_script03_2_F020,they sting,ang
Ses05F_script03_2_M022,they snap,ang
Ses05F_script03_2_F021,i dont care if they bark and roll around like hoops okay,ang
Ses05F_script03_2_M024,did you see much of peter burden after the divorce,ang
Ses05F_script03_2_F022,yes i did quite a bit,neu
Ses05F_script03_2_M025,i suppose you let him kiss you a good deal more then,ang
Ses05F_script03_2_F023,mind your own business,ang
Ses05F_script03_2_M026,you must have a riotous time no restraint at all very enjoyable i mean you never had much anyway,ang
Ses05F_script03_2_F024,oh dear you really are becoming quite insufferable i would imagine its because youre drunk,ang
Ses05F_script03_2_F027,not very funny dear you better have some more brandy,ang
Ses05F_script03_2_F029,why,ang
Ses05F_script03_2_F030,there arent any people upstairs its a photographers studio,ang
Ses05F_script03_2_F031,theyre away in tunis,ang
Ses05F_script03_2_F032,turn it on again,ang
Ses05F_script03_2_F033,fine if you insist on being completely insolent,ang
Ses05F_script03_2_M037,turn it off it is driving me mad,ang
Ses05F_script03_2_F034,well do try to control yourself darling,ang
Ses05F_script03_2_M038,turn it off,ang
Ses05F_script03_2_F035,you really do need to develop uh a clearer head,ang
Ses05F_script03_2_M039,turn it off,ang
Ses05F_script03_2_F036,i i hate you,ang
Ses05F_script03_2_M040,amanda listen listen,ang
Ses05F_script03_2_F037,i hate you,ang
Ses05F_script03_2_F038,no no im tired of listening to you youre boorish and idiotic and completely overbearing,ang
Ses05F_script03_2_M041,very music amusing indeed,ang
Ses05F_script03_2_F039,yeah very amusing let me go im getting out of here i cant believe i intended to marry you,ang
Ses05F_script03_2_M042,you are a vile tempered loose living wicked little beast and i never want to set eyes on you again,ang
Ses05F_script03_2_F040,oh marry you again i must have been insane what was i thinking i mean youre completely outrageous,ang
Ses05F_script03_2_M043,shut up shut up i wouldnt marry you again if you came crawling to me on bended knee youre a mean evilminded little vampire and i hope to god i never set eyes on you again,ang
Ses05F_script03_2_F041,beast brute cad whore,ang
Ses05M_impro07_M000,guess what,hap
Ses05M_impro07_F000,what,hap
Ses05M_impro07_M001,i got it i got accepted to usc,hap
Ses05M_impro07_F001,oh for real,hap
Ses05M_impro07_M002,yes i just found out today i just got the letter,hap
Ses05M_impro07_F003,ohim so glad,hap
Ses05M_impro07_M003,i know i know im so excited,hap
Ses05M_impro07_F004,what are you gonna study,hap
Ses05M_impro07_M004,oh theater yeah yeah,hap
Ses05M_impro07_F005,really are you doing the mfa program,hap
Ses05M_impro07_M005,yes,hap
Ses05M_impro07_M006,oh,hap
Ses05M_impro07_F007,i heard its so tough to get into,hap
Ses05M_impro07_M007,its exactly what i wanted,hap
Ses05M_impro07_F008,thats awesome,hap
Ses05M_impro07_M009,i worked really hard ill say i worked really hard you know i im not bragging or anything like that but,hap
Ses05M_impro07_F009,yeah thats awesome,hap
Ses05M_impro07_F010,no,neu
Ses05M_impro07_F011,uh huh yes seriously for years,hap
Ses05M_impro07_M011,finally im so excited were gonna  well ill be here were still gonna be able to see each other,hap
Ses05M_impro07_F012,i know i know im im definitely  i realize laughter,hap
Ses05M_impro07_M013,what are you wait what are you doing,hap
Ses05M_impro07_F013,um im gonna be studying at usc too,hap
Ses05M_impro07_M014,perfect oh my god are you staying are you going to live on campus,hap
Ses05M_impro07_F015,yeah totally well where are you going to live,hap
Ses05M_impro07_M016,we are gonna have a great time,hap
Ses05M_impro07_M017,garbage im going to live on campus i mean well around campus anyway yeah housing around campus,hap
Ses05M_impro07_F016,oh yeah,neu
Ses05M_impro07_F017,good tradeoff,neu
Ses05M_impro07_M018,i just want to be really close to things you know i know its not exactly the best neighborhood in the entire world but uh,hap
Ses05M_impro07_F018,i dont i dont think its that bad,neu
Ses05M_impro07_M019,i dont you know i feel the same way you know what i mean and everybody says a lot of other crap you know they dont know what they are talking about anyway,hap
Ses05M_impro07_F019,yeah,neu
Ses05M_impro07_M020,they dont live here they dont know right,hap
Ses05M_impro07_F020,yeah i think its really also if you if you consider yourself like us and them kind of thing if you think youre part of your community then you going to like it more,neu
Ses05M_impro07_M021,yeah,hap
Ses05M_impro07_M022,exactly you make it what you make it you know right and im gonna make it so freaking awesome,hap
Ses05M_impro07_F021,right exactly,hap
Ses05M_impro07_F022,oh im so glad,hap
Ses05M_impro07_M023,yeah,hap
Ses05M_impro07_F023,so when do you know like where youre gonna live and,hap
Ses05M_impro07_M024,well i dont know ive got to go look for a place,hap
Ses05M_impro07_F024,oh wow,neu
Ses05M_impro07_M025,yeah yeah i i dont i dont know do you have any suggestions,hap
Ses05M_impro07_F025,um,neu
Ses05M_impro07_M026,you know the area better than i do,hap
Ses05M_impro07_F026,yeah i mean i know i know like the the housing surrounding the campus pretty well,neu
Ses05M_impro07_F027,um how many people do you want to live with,neu
Ses05M_impro07_M028,not a lot i mean i wouldnt want to live with more than three other people so like four of us total right,hap
Ses05M_impro07_F028,all dudes,neu
Ses05M_impro07_M029,i dont care i dont care,hap
Ses05M_impro07_F029,um i think i have some friends,neu
Ses05M_impro07_M030,yeah,hap
Ses05M_impro07_F030,yeah,neu
Ses05M_impro07_M031,that would be perfect,hap
Ses05M_impro07_F031,theres actually a friend of mine is um moving out of her place and her place is amazing and its really cheap,hap
Ses05M_impro07_M032,really,hap
Ses05M_impro07_M033,really,hap
Ses05M_impro07_F032,yeah,neu
Ses05M_impro07_M034,cheap is exactly what i need because i have no money at all,hap
Ses05M_impro07_F033,okay,neu
Ses05M_impro07_M035,but uh,hap
Ses05M_impro07_M036,loans scholarships ive got a lot of scholarships yeah yeah im im half native american so i get all those scholarships too yeah,hap
Ses05M_impro07_F035,youve got a lot oh awesome,hap
Ses05M_impro07_F036,oh cool,hap
Ses05M_impro07_M037,so it comes indian like and you know im kind of smart so,hap
Ses05M_impro07_F037,yeah,hap
Ses05M_impro07_F038,totally,neu
Ses05M_impro07_F039,good for you,hap
Ses05M_impro07_M039,and yeah well i mean basically i just applied for any and every possible scholarship and grant that could come by so i can go,hap
Ses05M_impro07_F040,the way to do it,neu
Ses05M_impro07_M040,yeah yeah yeah and its gonna work out im gonna be able to pay for it im gonna go i mean ill have a little debt in the end but i dont care,hap
Ses05M_impro07_F041,wow are you so excited,hap
Ses05M_impro07_M041,its just you know a dream come true how could you not be excited about a dream come true,hap
Ses05M_impro07_F042,youre gonna be so busy too youre going to have to work so hard,hap
Ses05M_impro07_M042,oh i know i know,hap
Ses05M_impro07_M043,but im so looking forward to being so busy you know what i mean its the kind of busy youve got to love right,hap
